 
 Welcome to Mentorism V 2.0
 Shanta to Everyone : hi
 Saiki to Everyone : hi
 Shanta to Everyone : hi
 Saiki to Everyone : hi
 Saiki to Everyone : hihihihihihihihihihihihihihihihihihihihihihihihihihihihihihihihihihi
 Shanta to Everyone : hi
 Saiki to Everyone : hi
 Shanta to Everyone : hi
 Shanta to Everyone : Shanta to Everyone : hi
 Saiki to Everyone : hi
 Shanta to Everyone : hi
 Saiki to Everyone : hi
 Saiki to Everyone : hihihihihihihihihihihihihihihihihihihihihihihihihihihihihihihihihihi
 Shanta to Everyone : hi
 Saiki to Everyone : hi
 Shanta to Everyone : hi
 Saiki to Everyone : Shanta to Everyone : hi
 Saiki to Everyone : hi
 Shanta to Everyone : hi
 Saiki to Everyone : hi
 Saiki to Everyone : hihihihihihihihihihihihihihihihihihihihihihihihihihihihihihihihihihi
 Shanta to Everyone : hi
 Saiki to Everyone : hi
 Shanta to Everyone : hi
 Shanta to Everyone : Shanta to Everyone : hi
 Saiki to Everyone : hi
 Shanta to Everyone : hi
 Saiki to Everyone : hi
 Saiki to Everyone : hihihihihihihihihihihihihihihihihihihihihihihihihihihihihihihihihihi
 Shanta to Everyone : hi
 Saiki to Everyone : hi
 Shanta to Everyone : hi
 Saiki to Everyone : Shanta to Everyone : hi
 Saiki to Everyone : hi
 Shanta to Everyone : hi
 Saiki to Everyone : hi
 Saiki to Everyone : hihihihihihihihihihihihihihihihihihihihihihihihihihihihihihihihihihi
 Shanta to Everyone : hi
 Saiki to Everyone : hi
 Shanta to Everyone : hi
